way_id,local_hour,slope
-360,2019-06-20 12:00:00,6.666666666666667
-361,2019-06-20 12:00:00,5.2
-362,2019-06-20 12:00:00,4.5
-363,2019-06-20 12:00:00,6.133333333333334
-364,2019-06-20 12:00:00,3.888888888888889
-365,2019-06-20 12:00:00,3.3846153846153846
-366,2019-06-20 12:00:00,1.3333333333333333
-367,2019-06-20 12:00:00,2.6666666666666665
-368,2019-06-20 12:00:00,3.6666666666666665
-369,2019-06-20 12:00:00,6.333333333333333
-370,2019-06-20 12:00:00,5.3
-371,2019-06-20 12:00:00,10.0
-372,2019-06-20 12:00:00,8.833333333333334
-373,2019-06-20 12:00:00,3.5
-374,2019-06-20 12:00:00,4.538461538461538
-375,2019-06-20 12:00:00,4.416666666666667
-376,2019-06-20 12:00:00,11.11111111111111
-377,2019-06-20 12:00:00,8.75
-378,2019-06-20 12:00:00,8.074074074074074
-379,2019-06-20 12:00:00,6.6571428571428575
-380,2019-06-20 12:00:00,4.5
-381,2019-06-20 12:00:00,5.6
-382,2019-06-20 12:00:00,7.142857142857143
-383,2019-06-20 12:00:00,5.125
-384,2019-06-20 12:00:00,10.5
-385,2019-06-20 12:00:00,4.0
-386,2019-06-20 12:00:00,8.875
-387,2019-06-20 12:00:00,6.269230769230769
-388,2019-06-20 12:00:00,6.1923076923076925
-389,2019-06-20 12:00:00,2.857142857142857
-390,2019-06-20 12:00:00,4.5
-391,2019-06-20 12:00:00,4.409090909090909
-392,2019-06-20 12:00:00,11.333333333333334
-393,2019-06-20 12:00:00,3.4
-394,2019-06-20 12:00:00,5.294117647058823
-395,2019-06-20 12:00:00,13.833333333333334
-396,2019-06-20 12:00:00,7.055555555555555
-397,2019-06-20 12:00:00,8.5
-398,2019-06-20 12:00:00,5.5
-399,2019-06-20 12:00:00,5.0
-400,2019-06-20 12:00:00,6.25
-401,2019-06-20 12:00:00,6.0
-402,2019-06-20 12:00:00,22.833333333333332
-403,2019-06-20 12:00:00,8.767441860465116
-404,2019-06-20 12:00:00,6.9010989010989015
-405,2019-06-20 12:00:00,6.25
-406,2019-06-20 12:00:00,8.3
-407,2019-06-20 12:00:00,6.5
-408,2019-06-20 12:00:00,9.714285714285714
-409,2019-06-20 12:00:00,2.8
-410,2019-06-20 12:00:00,7.722222222222222
-411,2019-06-20 12:00:00,5.5
-412,2019-06-20 12:00:00,4.0
-413,2019-06-20 12:00:00,5.5
-414,2019-06-20 12:00:00,4.333333333333333
-415,2019-06-20 12:00:00,5.75
-416,2019-06-20 12:00:00,9.0
-417,2019-06-20 12:00:00,8.285714285714286
-418,2019-06-20 12:00:00,5.5
-419,2019-06-20 12:00:00,3.3333333333333335
-420,2019-06-20 12:00:00,4.0
-421,2019-06-20 12:00:00,6.046511627906977
-422,2019-06-20 12:00:00,5.75
-423,2019-06-20 12:00:00,4.6875
-424,2019-06-20 12:00:00,8.387096774193548
-425,2019-06-20 12:00:00,7.214285714285714
-426,2019-06-20 12:00:00,8.0
-427,2019-06-20 12:00:00,7.0
-428,2019-06-20 12:00:00,6.205479452054795
-429,2019-06-20 12:00:00,7.685185185185185
-430,2019-06-20 12:00:00,20.1
-431,2019-06-20 12:00:00,4.3076923076923075
-432,2019-06-20 12:00:00,3.0
-433,2019-06-20 12:00:00,4.898305084745763
-434,2019-06-20 12:00:00,4.240625
-435,2019-06-20 12:00:00,4.454545454545454
-436,2019-06-20 12:00:00,6.232142857142857
-437,2019-06-20 12:00:00,3.875
-438,2019-06-20 12:00:00,6.833333333333333
-439,2019-06-20 12:00:00,8.564356435643564
-440,2019-06-20 12:00:00,13.461538461538462
-441,2019-06-20 12:00:00,4.266666666666667
-442,2019-06-20 12:00:00,2.25
-443,2019-06-20 12:00:00,7.0
-444,2019-06-20 12:00:00,7.0
-445,2019-06-20 12:00:00,6.4
-446,2019-06-20 12:00:00,4.5
-447,2019-06-20 12:00:00,5.25
-448,2019-06-20 12:00:00,6.4
-449,2019-06-20 12:00:00,10.236842105263158
-450,2019-06-20 12:00:00,15.222222222222221
-451,2019-06-20 12:00:00,6.5
-452,2019-06-20 12:00:00,1.5
-453,2019-06-20 12:00:00,6.333333333333333
-454,2019-06-20 12:00:00,5.375
-455,2019-06-20 12:00:00,2.4285714285714284
-456,2019-06-20 12:00:00,1.5
-457,2019-06-20 12:00:00,2.5
-458,2019-06-20 12:00:00,1.5
-459,2019-06-20 12:00:00,6.1
-460,2019-06-20 12:00:00,7.552631578947368
-461,2019-06-20 12:00:00,2.5555555555555554
-462,2019-06-20 12:00:00,6.444444444444445
-463,2019-06-20 12:00:00,4.0
-464,2019-06-20 12:00:00,14.058823529411764
-465,2019-06-20 12:00:00,15.25
-466,2019-06-20 12:00:00,6.285714285714286
-467,2019-06-20 12:00:00,6.476190476190476
-468,2019-06-20 12:00:00,11.714285714285714
-469,2019-06-20 12:00:00,2.6666666666666665
-470,2019-06-20 12:00:00,4.294117647058823
-471,2019-06-20 12:00:00,2.7777777777777777
-472,2019-06-20 12:00:00,9.2
-473,2019-06-20 12:00:00,8.5625
-474,2019-06-20 12:00:00,6.0
-475,2019-06-20 12:00:00,4.428571428571429
-476,2019-06-20 12:00:00,4.0
-477,2019-06-20 12:00:00,3.0
-478,2019-06-20 12:00:00,4.777777777777778
-479,2019-06-20 12:00:00,3.789473684210526
-480,2019-06-20 12:00:00,2.5555555555555554
-481,2019-06-20 12:00:00,3.1666666666666665
-482,2019-06-20 12:00:00,7.0
-483,2019-06-20 12:00:00,5.5
-484,2019-06-20 12:00:00,8.875
-485,2019-06-20 12:00:00,9.736842105263158
-486,2019-06-20 12:00:00,13.464285714285714
-487,2019-06-20 12:00:00,6.0
-488,2019-06-20 12:00:00,6.833333333333333
-489,2019-06-20 12:00:00,6.5
-490,2019-06-20 12:00:00,2.8823529411764706
-491,2019-06-20 12:00:00,12.0
-492,2019-06-20 12:00:00,9.8
-493,2019-06-20 12:00:00,9.0
-494,2019-06-20 12:00:00,5.4
-495,2019-06-20 12:00:00,9.333333333333334
-496,2019-06-20 12:00:00,18.444444444444443
-497,2019-06-20 12:00:00,10.6
-498,2019-06-20 12:00:00,4.333333333333333
-499,2019-06-20 12:00:00,4.833333333333333
-500,2019-06-20 12:00:00,6.5
-501,2019-06-20 12:00:00,7.636363636363637
-502,2019-06-20 12:00:00,8.142857142857142
