way_id,local_hour,distanceToHealths
-158,2019-06-20 12:00:00,1750.7459321793458
-159,2019-06-20 12:00:00,1583.9627406676873
-160,2019-06-20 12:00:00,1717.5890699433323
-161,2019-06-20 12:00:00,1803.7387094535077
-162,2019-06-20 12:00:00,1685.7887829619185
-163,2019-06-20 12:00:00,1350.029900862229
-164,2019-06-20 12:00:00,1728.2494804231299
-165,2019-06-20 12:00:00,1894.1423441697093
-166,2019-06-20 12:00:00,2052.1851397352034
-167,2019-06-20 12:00:00,1669.8442289860793
-168,2019-06-20 12:00:00,1252.499833443179
-169,2019-06-20 12:00:00,490.41635972728113
-170,2019-06-20 12:00:00,790.2617784464452
-171,2019-06-20 12:00:00,10850.83830855326
-172,2019-06-20 12:00:00,9813.557294172455
-173,2019-06-20 12:00:00,9569.268580642954
-174,2019-06-20 12:00:00,10462.872803780892
-175,2019-06-20 12:00:00,12023.878646292396
-176,2019-06-20 12:00:00,16334.185962198533
-177,2019-06-20 12:00:00,10615.731768833484
-178,2019-06-20 12:00:00,9234.854959445523
-179,2019-06-20 12:00:00,8891.734229314165
-180,2019-06-20 12:00:00,10303.90407422086
-181,2019-06-20 12:00:00,10324.486645978073
-182,2019-06-20 12:00:00,10039.332352958467
-183,2019-06-20 12:00:00,12060.731508494642
-184,2019-06-20 12:00:00,21224.25649991809
-185,2019-06-20 12:00:00,7626.631671549718
-186,2019-06-20 12:00:00,10398.772912995102
-187,2019-06-20 12:00:00,6263.042269945214
-188,2019-06-20 12:00:00,10037.519192290578
-189,2019-06-20 12:00:00,6737.9311569257125
-190,2019-06-20 12:00:00,6491.168920335457
-191,2019-06-20 12:00:00,6573.358514461885
-192,2019-06-20 12:00:00,6518.200063023639
-193,2019-06-20 12:00:00,5226.13684591166
-194,2019-06-20 12:00:00,4989.7451746690185
-195,2019-06-20 12:00:00,4153.051638160489
-196,2019-06-20 12:00:00,3763.9474666019555
-197,2019-06-20 12:00:00,3517.800955422696
-198,2019-06-20 12:00:00,3960.505586781121
-199,2019-06-20 12:00:00,4094.3385633076223
-200,2019-06-20 12:00:00,4191.68233637906
-201,2019-06-20 12:00:00,4360.798290583248
-202,2019-06-20 12:00:00,2628.534181786938
-203,2019-06-20 12:00:00,4813.937017832407
-204,2019-06-20 12:00:00,6521.477457706913
-205,2019-06-20 12:00:00,639.4098654880993
-206,2019-06-20 12:00:00,972.2437570503812
-207,2019-06-20 12:00:00,2753.185287004708
-208,2019-06-20 12:00:00,2771.7596554357415
-209,2019-06-20 12:00:00,2546.457603950378
-210,2019-06-20 12:00:00,2566.14355598989
-211,2019-06-20 12:00:00,2791.149214189276
-212,2019-06-20 12:00:00,3157.701636689871
-213,2019-06-20 12:00:00,8757.53195994401
-214,2019-06-20 12:00:00,2660.2819069766583
-215,2019-06-20 12:00:00,609.0346370507725
-216,2019-06-20 12:00:00,1033.5935485287664
-217,2019-06-20 12:00:00,1218.733322764738
-218,2019-06-20 12:00:00,1521.4538819224513
-219,2019-06-20 12:00:00,1358.6907686003105
-220,2019-06-20 12:00:00,1440.3118637518116
-221,2019-06-20 12:00:00,3346.170708764123
-222,2019-06-20 12:00:00,1205.2389344185049
-223,2019-06-20 12:00:00,1370.097518409108
-224,2019-06-20 12:00:00,1555.4414355347149
-225,2019-06-20 12:00:00,1417.7479618163745
-226,2019-06-20 12:00:00,1180.8597934441277
-227,2019-06-20 12:00:00,1486.8561728426027
-228,2019-06-20 12:00:00,1723.821539940571
-229,2019-06-20 12:00:00,1771.3603728883297
-230,2019-06-20 12:00:00,1083.874939247265
-231,2019-06-20 12:00:00,1366.3262582851398
-232,2019-06-20 12:00:00,1561.2178410923277
-233,2019-06-20 12:00:00,1976.7970261866058
-234,2019-06-20 12:00:00,2081.539996792261
-235,2019-06-20 12:00:00,2216.3493009034564
-236,2019-06-20 12:00:00,2439.787399761589
-237,2019-06-20 12:00:00,4421.027403196816
-238,2019-06-20 12:00:00,450.941328244623
-239,2019-06-20 12:00:00,2436.02367521379
-240,2019-06-20 12:00:00,4769.539977464383
-241,2019-06-20 12:00:00,4974.335137737908
-242,2019-06-20 12:00:00,3132.9291230323515
-243,2019-06-20 12:00:00,2696.9153006399656
-244,2019-06-20 12:00:00,1458.145566920575
-245,2019-06-20 12:00:00,331.4831306718424
-246,2019-06-20 12:00:00,1261.3634702900642
-247,2019-06-20 12:00:00,844.8947780016927
-248,2019-06-20 12:00:00,242.94014485913985
-249,2019-06-20 12:00:00,169.9000523956624
-250,2019-06-20 12:00:00,257.6810416275345
-251,2019-06-20 12:00:00,205.67101706820932
-252,2019-06-20 12:00:00,225.41368318102076
-253,2019-06-20 12:00:00,356.91428440425216
-254,2019-06-20 12:00:00,531.5688434818323
-255,2019-06-20 12:00:00,342.3124090785744
-256,2019-06-20 12:00:00,6484.9284252364105
-257,2019-06-20 12:00:00,4798.111405775407
-258,2019-06-20 12:00:00,4866.403254166416
-259,2019-06-20 12:00:00,245.7889328879984
-260,2019-06-20 12:00:00,611.6550387376457
-261,2019-06-20 12:00:00,837.6769622704717
-262,2019-06-20 12:00:00,731.6973207073202
-263,2019-06-20 12:00:00,746.2031740693644
-264,2019-06-20 12:00:00,947.4485930988511
-265,2019-06-20 12:00:00,972.4586564271773
-266,2019-06-20 12:00:00,2468.625493734659
-267,2019-06-20 12:00:00,1427.330971461809
-268,2019-06-20 12:00:00,140.30267728130977
-269,2019-06-20 12:00:00,505.74704720074556
-270,2019-06-20 12:00:00,256.4119946037456
-271,2019-06-20 12:00:00,477.61896108238545
-272,2019-06-20 12:00:00,967.4557655120328
-273,2019-06-20 12:00:00,368.7521694854425
-274,2019-06-20 12:00:00,296.5795208824686
-275,2019-06-20 12:00:00,295.91860101747994
-276,2019-06-20 12:00:00,170.16545522488587
-277,2019-06-20 12:00:00,453.9933120078759
-278,2019-06-20 12:00:00,313.16190636383027
-279,2019-06-20 12:00:00,751.9566829934461
-280,2019-06-20 12:00:00,415.72143638836735
-281,2019-06-20 12:00:00,336.0854627551561
-282,2019-06-20 12:00:00,779.4341874239859
-283,2019-06-20 12:00:00,950.1805883471064
-284,2019-06-20 12:00:00,936.6914368857476
-285,2019-06-20 12:00:00,1147.228555378869
-286,2019-06-20 12:00:00,527.2491464770417
-287,2019-06-20 12:00:00,1089.303174481252
-288,2019-06-20 12:00:00,731.4434784059131
-289,2019-06-20 12:00:00,1464.4189865477372
-290,2019-06-20 12:00:00,1683.5197868693563
-291,2019-06-20 12:00:00,1370.035570047475
-292,2019-06-20 12:00:00,1379.2103012456303
-293,2019-06-20 12:00:00,6133.280268629527
-294,2019-06-20 12:00:00,6419.860949192295
-295,2019-06-20 12:00:00,8929.81523275439
-296,2019-06-20 12:00:00,7886.150171235474
-297,2019-06-20 12:00:00,8031.259416912947
-298,2019-06-20 12:00:00,1932.232992743925
-299,2019-06-20 12:00:00,1025.9652456451947
-300,2019-06-20 12:00:00,428.4562802482061
-301,2019-06-20 12:00:00,428.4562802482061
-302,2019-06-20 12:00:00,189.8059112639382
-303,2019-06-20 12:00:00,363.80104656029715
-304,2019-06-20 12:00:00,471.91664488973447
-305,2019-06-20 12:00:00,480.1165348761639
-306,2019-06-20 12:00:00,546.2283443096507
-307,2019-06-20 12:00:00,501.6437428080179
-308,2019-06-20 12:00:00,213.68461501361293
-309,2019-06-20 12:00:00,236.38603367574157
-310,2019-06-20 12:00:00,241.81890452879813
-311,2019-06-20 12:00:00,256.6260102762912
-312,2019-06-20 12:00:00,251.88459704535862
-313,2019-06-20 12:00:00,413.45576371160513
-314,2019-06-20 12:00:00,434.2907264722307
-315,2019-06-20 12:00:00,489.72628845806105
-316,2019-06-20 12:00:00,743.5032430818203
-317,2019-06-20 12:00:00,780.9251109735364
-318,2019-06-20 12:00:00,2062.0115406929613
-319,2019-06-20 12:00:00,2056.5458517796887
-320,2019-06-20 12:00:00,233.23456032768664
-321,2019-06-20 12:00:00,1996.1807180593248
-322,2019-06-20 12:00:00,828.1789588790936
-323,2019-06-20 12:00:00,949.0663021502965
-324,2019-06-20 12:00:00,935.7192656304751
-325,2019-06-20 12:00:00,828.1789588790936
-326,2019-06-20 12:00:00,131.74855938379832
-327,2019-06-20 12:00:00,923.8436382890931
-328,2019-06-20 12:00:00,253.7625027162686
-329,2019-06-20 12:00:00,39.37999694657524
-330,2019-06-20 12:00:00,273.64194496119586
-331,2019-06-20 12:00:00,1041.305175207105
-332,2019-06-20 12:00:00,1041.305175207105
-333,2019-06-20 12:00:00,489.8112961738805
-334,2019-06-20 12:00:00,481.6492161876238
-335,2019-06-20 12:00:00,490.41635972728113
-336,2019-06-20 12:00:00,528.5160980191131
-337,2019-06-20 12:00:00,517.0154146899669
-338,2019-06-20 12:00:00,555.1816987166686
-339,2019-06-20 12:00:00,555.1816987166686
-340,2019-06-20 12:00:00,822.9142078310251
-341,2019-06-20 12:00:00,1733.1957806484684
-342,2019-06-20 12:00:00,7683.766269325694
-343,2019-06-20 12:00:00,489.8112961738805
-344,2019-06-20 12:00:00,1615.6733984181087
-345,2019-06-20 12:00:00,1490.1394853766958
-346,2019-06-20 12:00:00,290.38638433745535
-347,2019-06-20 12:00:00,450.9502179520233
-348,2019-06-20 12:00:00,496.4982098501155
-349,2019-06-20 12:00:00,488.992112573523
-350,2019-06-20 12:00:00,1075.0720829583934
-351,2019-06-20 12:00:00,458.4544546144286
-352,2019-06-20 12:00:00,115.0624177480512
-353,2019-06-20 12:00:00,204.75421749270552
-354,2019-06-20 12:00:00,1393.2570262000197
-355,2019-06-20 12:00:00,822.6013729919331
-356,2019-06-20 12:00:00,917.3057360638352
-357,2019-06-20 12:00:00,629.465793555398
-358,2019-06-20 12:00:00,864.2585581971496
-359,2019-06-20 12:00:00,1087.084701326823
-360,2019-06-20 12:00:00,951.7555166522013
-361,2019-06-20 12:00:00,929.5346668081405
-362,2019-06-20 12:00:00,936.755806502241
-363,2019-06-20 12:00:00,694.3918421174069
-364,2019-06-20 12:00:00,581.3229324524867
-365,2019-06-20 12:00:00,263.85386021248996
-366,2019-06-20 12:00:00,411.8066531973619
-367,2019-06-20 12:00:00,832.4182022256681
-368,2019-06-20 12:00:00,187.06434530816705
-369,2019-06-20 12:00:00,363.93240040577336
-370,2019-06-20 12:00:00,109.56917375591694
-371,2019-06-20 12:00:00,876.6802523285672
-372,2019-06-20 12:00:00,934.3011619136489
-373,2019-06-20 12:00:00,981.5377741720633
-374,2019-06-20 12:00:00,812.6679687894701
-375,2019-06-20 12:00:00,752.0710309136556
-376,2019-06-20 12:00:00,348.8117346910001
-377,2019-06-20 12:00:00,1038.7857964259144
-378,2019-06-20 12:00:00,1116.803347980804
-379,2019-06-20 12:00:00,42.768460068597086
-380,2019-06-20 12:00:00,78.94964917169771
-381,2019-06-20 12:00:00,889.930031958036
-382,2019-06-20 12:00:00,1800.5352182459565
-383,2019-06-20 12:00:00,1454.6786812252833
-384,2019-06-20 12:00:00,1829.3475922238076
-385,2019-06-20 12:00:00,1791.4545535858726
-386,2019-06-20 12:00:00,1643.4127830980424
-387,2019-06-20 12:00:00,1188.930692203045
-388,2019-06-20 12:00:00,1190.7630649919438
-389,2019-06-20 12:00:00,1380.7165014679392
-390,2019-06-20 12:00:00,1518.9042262250457
-391,2019-06-20 12:00:00,1273.7901971467606
-392,2019-06-20 12:00:00,1210.2213216304146
-393,2019-06-20 12:00:00,971.6358050553514
-394,2019-06-20 12:00:00,1409.7180580439033
-395,2019-06-20 12:00:00,1105.107494116671
-396,2019-06-20 12:00:00,1451.463234451103
-397,2019-06-20 12:00:00,1579.9678546562682
-398,2019-06-20 12:00:00,604.8965703815863
-399,2019-06-20 12:00:00,571.1467796899398
-400,2019-06-20 12:00:00,495.4666750915675
-401,2019-06-20 12:00:00,7006.366569692196
-402,2019-06-20 12:00:00,1318.9681815462088
-403,2019-06-20 12:00:00,3120.8343470800132
-404,2019-06-20 12:00:00,3207.8912209398404
-405,2019-06-20 12:00:00,4890.944730823157
-406,2019-06-20 12:00:00,4789.071365239056
-407,2019-06-20 12:00:00,4627.784879092131
-408,2019-06-20 12:00:00,3979.37210364111
-409,2019-06-20 12:00:00,3972.233633182773
-410,2019-06-20 12:00:00,4412.745963040811
-411,2019-06-20 12:00:00,2823.6590278479307
-412,2019-06-20 12:00:00,2820.830855006611
-413,2019-06-20 12:00:00,2856.8349004793513
-414,2019-06-20 12:00:00,3071.0099347983587
-415,2019-06-20 12:00:00,3154.1839561732268
-416,2019-06-20 12:00:00,3129.7845529540714
-417,2019-06-20 12:00:00,3116.451253444417
-418,2019-06-20 12:00:00,3056.3221674589818
-419,2019-06-20 12:00:00,2545.599480913234
-420,2019-06-20 12:00:00,2395.4408226818623
-421,2019-06-20 12:00:00,2543.6924451979226
-422,2019-06-20 12:00:00,3258.8898290735547
-423,2019-06-20 12:00:00,3605.8935696095964
-424,2019-06-20 12:00:00,2344.468581093452
-425,2019-06-20 12:00:00,3748.338970368774
-426,2019-06-20 12:00:00,3780.6417557383693
-427,2019-06-20 12:00:00,3706.8098074358304
-428,2019-06-20 12:00:00,2012.1373585584483
-429,2019-06-20 12:00:00,1659.2213462633144
-430,2019-06-20 12:00:00,1550.3657350235446
-431,2019-06-20 12:00:00,4581.448727065383
-432,2019-06-20 12:00:00,4617.29876701855
-433,2019-06-20 12:00:00,904.302339549838
-434,2019-06-20 12:00:00,2702.2569865424407
-435,2019-06-20 12:00:00,147.78472949857124
-436,2019-06-20 12:00:00,2387.8332434384724
-437,2019-06-20 12:00:00,1490.1394853766958
-438,2019-06-20 12:00:00,1718.91646514432
-439,2019-06-20 12:00:00,1662.8355018774184
-440,2019-06-20 12:00:00,225.63994003011786
-441,2019-06-20 12:00:00,790.8598961165018
-442,2019-06-20 12:00:00,897.6660478492603
-443,2019-06-20 12:00:00,1813.0334067063975
-444,2019-06-20 12:00:00,1482.3634641838012
-445,2019-06-20 12:00:00,612.1659345831723
